Tarih/Saat,Ürün İsmi,Fiyat,Link
2026-06-20 07:07:35,"Apple iPhone 17 Pro Max 256 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Abis",124149.0,https://www.amazon.com.tr/sspa/click?ie=UTF8&spc=MTo3NzY2MDc1MDQ3NTUxNzgxOjE3ODE5Mjg0NTE6c3BfYXRmOjMwMDcxNDAwMDY4NjYzMjo6MDo6&url=%2FApple-iPhone-Pro-Max-teknolojisine%2Fdp%2FB0FQFVL6DK%2Fref%3Dsr_1_1_sspa%3F__mk_tr_TR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dib%3DeyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxOAkNvCeAv9euyFSROMuowVAvZXJDHJ7GrkL9LW5CKBhBV8GtwHpfliR-ip8d5VsV0Blltl5Gz4hoRneDY0koKkYNQld1HfxMBKGJdrA_R30dcLwhn5tl7zwJFtWbrVUu21QvSFlrNgRB-w1zejXZknXq2P25IVcEOuXgzZyLS76YV1rob_8HsrxdxFNrXRgaRtvvE6SKI8MftZ_tRZQClpU_fwkZiINVxz2ImfgtDxhQcIQmk5ZvxgoThKIgZKawenOPVQRcSYzq_c20i20fqQ.oV6MFaar98T1hLKZ-jzo9bTsD4t9fv-1YE4IjkqFKUE%26dib_tag%3Dse%26keywords%3Diphone%2B17%2Bpro%2Bmax%26qid%3D1781928450%26sr%3D8-1-spons%26aref%3Dq12xVaDQMF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=q12xVaDQMF&sp_cr=DUB
2026-06-20 07:07:35,"Apple iPhone 17 Pro Max 256 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Gümüş Rengi",126699.0,https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQG8NP4B/ref=sr_1_3?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxOAkNvCeAv9euyFSROMuowVAvZXJDHJ7GrkL9LW5CKBhBV8GtwHpfliR-ip8d5VsV0Blltl5Gz4hoRneDY0koKkYNQld1HfxMBKGJdrA_R30dcLwhn5tl7zwJFtWbrVUu21QvSFlrNgRB-w1zejXZknXq2P25IVcEOuXgzZyLS76YV1rob_8HsrxdxFNrXRgaRtvvE6SKI8MftZ_tRZQClpU_fwkZiINVxz2ImfgtDxhQcIQmk5ZvxgoThKIgZKawenOPVQRcSYzq_c20i20fqQ.oV6MFaar98T1hLKZ-jzo9bTsD4t9fv-1YE4IjkqFKUE&dib_tag=se&keywords=iphone+17+pro+max&qid=1781928450&sr=8-3
2026-06-20 07:07:35,"Apple iPhone 17 Pro Max 256 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Abis",124149.0,https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQFVL6DK/ref=sr_1_4?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxOAkNvCeAv9euyFSROMuowVAvZXJDHJ7GrkL9LW5CKBhBV8GtwHpfliR-ip8d5VsV0Blltl5Gz4hoRneDY0koKkYNQld1HfxMBKGJdrA_R30dcLwhn5tl7zwJFtWbrVUu21QvSFlrNgRB-w1zejXZknXq2P25IVcEOuXgzZyLS76YV1rob_8HsrxdxFNrXRgaRtvvE6SKI8MftZ_tRZQClpU_fwkZiINVxz2ImfgtDxhQcIQmk5ZvxgoThKIgZKawenOPVQRcSYzq_c20i20fqQ.oV6MFaar98T1hLKZ-jzo9bTsD4t9fv-1YE4IjkqFKUE&dib_tag=se&keywords=iphone+17+pro+max&qid=1781928450&sr=8-4
2026-06-20 07:07:35,"Apple iPhone 17 Pro Max 512 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Kozmik Turuncu",135299.0,https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQFJF2DP/ref=sr_1_5?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxOAkNvCeAv9euyFSROMuowVAvZXJDHJ7GrkL9LW5CKBhBV8GtwHpfliR-ip8d5VsV0Blltl5Gz4hoRneDY0koKkYNQld1HfxMBKGJdrA_R30dcLwhn5tl7zwJFtWbrVUu21QvSFlrNgRB-w1zejXZknXq2P25IVcEOuXgzZyLS76YV1rob_8HsrxdxFNrXRgaRtvvE6SKI8MftZ_tRZQClpU_fwkZiINVxz2ImfgtDxhQcIQmk5ZvxgoThKIgZKawenOPVQRcSYzq_c20i20fqQ.oV6MFaar98T1hLKZ-jzo9bTsD4t9fv-1YE4IjkqFKUE&dib_tag=se&keywords=iphone+17+pro+max&qid=1781928450&sr=8-5
2026-06-20 07:08:03,"Apple iPhone 17 Pro Max 256 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Abis",124149.0,https://www.amazon.com.tr/sspa/click?ie=UTF8&spc=MTo4MzgxNTA2NTY4ODMxNTYzOjE3ODE5Mjg0NzY6c3BfYXRmOjMwMDcxNDAwMDY4NjYzMjo6MDo6&url=%2FApple-iPhone-Pro-Max-teknolojisine%2Fdp%2FB0FQFVL6DK%2Fref%3Dsr_1_1_sspa%3F__mk_tr_TR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dib%3DeyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxD1W5gFEmlofXoN4veZv_pgk6IQnkOXRnRD90p8kezsurjuegd7QUFfCV3i4CdAXRZpWNJIUwoZonUVMKieQjOhh-fOrZejHx4EhBv_E_2cReRfoMW0iju0aNMifQxqFgp_M1MHqaY3GBngAZGv93eD5oYreqapN08x980j3nRdLO_Tr2AfIFFXRPFSC1ZrhNmk-2VLiXTZXFcuG5uEIKK30bDiNbV8BPJRZSd-zx4djIkPFAGvRiGcBGZOqqivh176-2b0FvLs0FnHrqf8FM2w.gJAls2vgTpdF8PRL8OCrLmKIENoSNfjyxUG-JlA6KY0%26dib_tag%3Dse%26keywords%3Diphone%2B17%2Bpro%2Bmax%26qid%3D1781928476%26sr%3D8-1-spons%26aref%3Dq12xVaDQMF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=q12xVaDQMF&sp_cr=DUB
2026-06-20 07:08:03,"Apple iPhone 17 Pro Max 256 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Gümüş Rengi",126699.0,https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQG8NP4B/ref=sr_1_3?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxD1W5gFEmlofXoN4veZv_pgk6IQnkOXRnRD90p8kezsurjuegd7QUFfCV3i4CdAXRZpWNJIUwoZonUVMKieQjOhh-fOrZejHx4EhBv_E_2cReRfoMW0iju0aNMifQxqFgp_M1MHqaY3GBngAZGv93eD5oYreqapN08x980j3nRdLO_Tr2AfIFFXRPFSC1ZrhNmk-2VLiXTZXFcuG5uEIKK30bDiNbV8BPJRZSd-zx4djIkPFAGvRiGcBGZOqqivh176-2b0FvLs0FnHrqf8FM2w.gJAls2vgTpdF8PRL8OCrLmKIENoSNfjyxUG-JlA6KY0&dib_tag=se&keywords=iphone+17+pro+max&qid=1781928476&sr=8-3
2026-06-20 07:08:03,"Apple iPhone 17 Pro Max 512 GB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Kozmik Turuncu",135299.0,https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQFJF2DP/ref=sr_1_4?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxD1W5gFEmlofXoN4veZv_pgk6IQnkOXRnRD90p8kezsurjuegd7QUFfCV3i4CdAXRZpWNJIUwoZonUVMKieQjOhh-fOrZejHx4EhBv_E_2cReRfoMW0iju0aNMifQxqFgp_M1MHqaY3GBngAZGv93eD5oYreqapN08x980j3nRdLO_Tr2AfIFFXRPFSC1ZrhNmk-2VLiXTZXFcuG5uEIKK30bDiNbV8BPJRZSd-zx4djIkPFAGvRiGcBGZOqqivh176-2b0FvLs0FnHrqf8FM2w.gJAls2vgTpdF8PRL8OCrLmKIENoSNfjyxUG-JlA6KY0&dib_tag=se&keywords=iphone+17+pro+max&qid=1781928476&sr=8-4
2026-06-20 07:08:03,"Apple iPhone 17 Pro Max 1 TB:ProMotion teknolojisine sahip 6.9 inç ekran, A19 Pro Çip, Bir iPhone’da Şimdiye Kadarki En İyi Pil Ömrü, Pro Fusion Kamera Sistemi, Center Stage Ön Kamera;Abis",149624.0,https://www.amazon.com.tr/Apple-iPhone-Pro-Max-teknolojisine/dp/B0FQFGRLC8/ref=sr_1_5?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dib=eyJ2IjoiMSJ9.ncWWI0PSBNnJFB--MGUUxD1W5gFEmlofXoN4veZv_pgk6IQnkOXRnRD90p8kezsurjuegd7QUFfCV3i4CdAXRZpWNJIUwoZonUVMKieQjOhh-fOrZejHx4EhBv_E_2cReRfoMW0iju0aNMifQxqFgp_M1MHqaY3GBngAZGv93eD5oYreqapN08x980j3nRdLO_Tr2AfIFFXRPFSC1ZrhNmk-2VLiXTZXFcuG5uEIKK30bDiNbV8BPJRZSd-zx4djIkPFAGvRiGcBGZOqqivh176-2b0FvLs0FnHrqf8FM2w.gJAls2vgTpdF8PRL8OCrLmKIENoSNfjyxUG-JlA6KY0&dib_tag=se&keywords=iphone+17+pro+max&qid=1781928476&sr=8-5
